Step,A_Role-Conforming,A_Norm-Breaking,B_Role-Conforming,B_Norm-Breaking
1,303,197,239,261
2,296,204,259,241
3,280,220,251,249
4,285,215,247,253
5,269,231,276,224
6,242,258,233,267
7,258,242,244,256
8,269,231,248,252
9,256,244,231,269
10,237,263,257,243
11,254,246,251,249
12,240,260,248,252
13,246,254,245,255
14,250,250,250,250
15,251,249,251,249
16,265,235,246,254
17,258,242,264,236
18,238,262,259,241
19,251,249,243,257
20,258,242,251,249
21,257,243,233,267
22,243,257,260,240
23,272,228,255,245
24,256,244,251,249
25,251,249,261,239
26,256,244,243,257
27,257,243,252,248
28,254,246,247,253
29,252,248,242,258
30,255,245,257,243
31,249,251,268,232
32,233,267,258,242
33,259,241,259,241
34,232,268,244,256
35,219,281,258,242
36,277,223,256,244
37,242,258,245,255
38,255,245,262,238
39,256,244,236,264
40,252,248,268,232
41,257,243,273,227
42,254,246,235,265
43,264,236,253,247
44,259,241,254,246
45,251,249,260,240
46,250,250,242,258
47,255,245,247,253
48,239,261,239,261
49,254,246,237,263
50,250,250,246,254
51,257,243,245,255
52,253,247,267,233
53,260,240,238,262
54,264,236,236,264
55,265,235,264,236
56,256,244,242,258
57,243,257,268,232
58,244,256,269,231
59,243,257,257,243
60,268,232,255,245
61,264,236,231,269
62,245,255,245,255
63,266,234,264,236
64,255,245,266,234
65,253,247,259,241
66,257,243,251,249
67,266,234,247,253
68,254,246,247,253
69,255,245,248,252
70,255,245,249,251
71,250,250,262,238
72,237,263,254,246
73,243,257,252,248
74,246,254,248,252
75,252,248,250,250
76,278,222,244,256
77,245,255,240,260
78,253,247,259,241
79,249,251,229,271
80,261,239,259,241
81,245,255,264,236
82,237,263,225,275
83,226,274,232,268
84,261,239,261,239
85,258,242,242,258
86,253,247,238,262
87,242,258,241,259
88,238,262,265,235
89,238,262,251,249
90,256,244,244,256
91,248,252,252,248
92,238,262,256,244
93,264,236,240,260
94,228,272,272,228
95,251,249,254,246
96,253,247,278,222
97,259,241,248,252
98,256,244,253,247
99,256,244,270,230
100,259,241,251,249
101,240,260,253,247
102,256,244,272,228
103,261,239,241,259
104,265,235,232,268
105,241,259,255,245
106,235,265,248,252
107,245,255,239,261
108,255,245,261,239
109,237,263,234,266
110,247,253,254,246
111,256,244,245,255
112,247,253,262,238
113,240,260,249,251
114,240,260,237,263
115,250,250,250,250
116,223,277,268,232
117,246,254,258,242
118,265,235,248,252
119,266,234,248,252
120,234,266,228,272
121,244,256,241,259
122,243,257,261,239
123,273,227,259,241
124,233,267,270,230
125,257,243,234,266
126,245,255,242,258
127,269,231,241,259
128,254,246,243,257
129,224,276,268,232
130,248,252,251,249
131,258,242,271,229
132,258,242,245,255
133,271,229,236,264
134,237,263,264,236
135,250,250,258,242
136,256,244,244,256
137,247,253,243,257
138,242,258,243,257
139,241,259,231,269
140,230,270,248,252
141,218,282,251,249
142,250,250,257,243
143,265,235,255,245
144,243,257,246,254
145,242,258,221,279
146,228,272,247,253
147,250,250,241,259
148,255,245,254,246
149,252,248,241,259
150,265,235,250,250
151,250,250,242,258
152,261,239,239,261
153,259,241,256,244
154,243,257,245,255
155,256,244,257,243
156,250,250,244,256
157,264,236,249,251
158,262,238,248,252
159,238,262,246,254
160,247,253,246,254
161,255,245,258,242
162,249,251,267,233
163,259,241,235,265
164,241,259,269,231
165,251,249,248,252
166,265,235,229,271
167,278,222,257,243
168,269,231,210,290
169,237,263,253,247
170,267,233,270,230
171,250,250,254,246
172,254,246,250,250
173,269,231,256,244
174,264,236,248,252
175,266,234,257,243
176,255,245,258,242
177,253,247,244,256
178,242,258,274,226
179,251,249,254,246
180,253,247,258,242
181,244,256,250,250
182,257,243,250,250
183,257,243,249,251
184,242,258,248,252
185,251,249,245,255
186,241,259,235,265
187,242,258,239,261
188,258,242,233,267
189,257,243,263,237
190,241,259,242,258
191,247,253,268,232
192,262,238,224,276
193,255,245,262,238
194,252,248,268,232
195,248,252,260,240
196,252,248,263,237
197,270,230,253,247
198,235,265,248,252
199,218,282,247,253
200,247,253,254,246
201,255,245,245,255
202,248,252,234,266
203,253,247,251,249
204,248,252,252,248
205,268,232,240,260
206,261,239,265,235
207,236,264,256,244
208,243,257,262,238
209,262,238,235,265
210,260,240,258,242
211,233,267,235,265
212,265,235,262,238
213,261,239,241,259
214,233,267,252,248
215,272,228,241,259
216,255,245,237,263
217,259,241,274,226
218,255,245,251,249
219,250,250,247,253
220,257,243,241,259
221,261,239,256,244
222,239,261,247,253
223,255,245,245,255
224,230,270,232,268
225,294,206,258,242
226,251,249,257,243
227,242,258,258,242
228,271,229,242,258
229,252,248,260,240
230,251,249,219,281
231,268,232,282,218
232,245,255,239,261
233,260,240,241,259
234,266,234,253,247
235,238,262,255,245
236,258,242,267,233
237,241,259,238,262
238,230,270,261,239
239,227,273,236,264
240,264,236,260,240
241,244,256,244,256
242,242,258,257,243
243,244,256,237,263
244,263,237,243,257
245,247,253,257,243
246,246,254,225,275
247,250,250,251,249
248,256,244,240,260
249,246,254,252,248
250,244,256,259,241
251,251,249,248,252
252,267,233,261,239
253,254,246,254,246
254,250,250,229,271
255,247,253,263,237
256,252,248,256,244
257,262,238,245,255
258,278,222,229,271
259,236,264,255,245
260,238,262,249,251
261,255,245,253,247
262,252,248,267,233
263,246,254,243,257
264,248,252,253,247
265,242,258,242,258
266,242,258,237,263
267,258,242,253,247
268,229,271,253,247
269,224,276,255,245
270,243,257,260,240
271,259,241,246,254
272,246,254,246,254
273,245,255,241,259
274,254,246,258,242
275,261,239,254,246
276,258,242,240,260
277,250,250,254,246
278,249,251,251,249
279,253,247,253,247
280,266,234,235,265
281,249,251,235,265
282,253,247,235,265
283,238,262,236,264
284,233,267,271,229
285,245,255,251,249
286,240,260,249,251
287,263,237,238,262
288,272,228,251,249
289,248,252,241,259
290,260,240,233,267
291,268,232,260,240
292,233,267,264,236
293,255,245,256,244
294,248,252,242,258
295,238,262,264,236
296,239,261,239,261
297,261,239,266,234
298,255,245,259,241
299,255,245,239,261
300,248,252,259,241
301,245,255,270,230
302,256,244,253,247
303,261,239,256,244
304,247,253,249,251
305,245,255,266,234
306,257,243,235,265
307,246,254,260,240
308,249,251,244,256
309,270,230,256,244
310,245,255,257,243
311,242,258,256,244
312,261,239,248,252
313,229,271,267,233
314,239,261,256,244
315,253,247,253,247
316,222,278,246,254
317,258,242,241,259
318,240,260,265,235
319,256,244,268,232
320,230,270,234,266
321,235,265,243,257
322,270,230,248,252
323,243,257,252,248
324,251,249,241,259
325,248,252,246,254
326,246,254,253,247
327,247,253,255,245
328,251,249,242,258
329,225,275,254,246
330,262,238,263,237
331,237,263,248,252
332,241,259,243,257
333,253,247,265,235
334,252,248,263,237
335,258,242,251,249
336,281,219,250,250
337,240,260,245,255
338,253,247,236,264
339,235,265,237,263
340,267,233,238,262
341,245,255,265,235
342,258,242,244,256
343,237,263,247,253
344,279,221,234,266
345,243,257,249,251
346,262,238,254,246
347,267,233,248,252
348,243,257,247,253
349,241,259,240,260
350,246,254,266,234
351,234,266,237,263
352,254,246,244,256
353,243,257,255,245
354,253,247,252,248
355,243,257,259,241
356,235,265,244,256
357,266,234,254,246
358,250,250,265,235
359,237,263,257,243
360,229,271,259,241
361,248,252,236,264
362,252,248,249,251
363,256,244,259,241
364,247,253,243,257
365,221,279,253,247
366,235,265,245,255
367,256,244,259,241
368,235,265,242,258
369,236,264,264,236
370,255,245,261,239
371,273,227,239,261
372,242,258,257,243
373,245,255,224,276
374,243,257,254,246
375,265,235,241,259
376,248,252,269,231
377,249,251,262,238
378,257,243,241,259
379,229,271,270,230
380,243,257,258,242
381,243,257,269,231
382,231,269,239,261
383,259,241,261,239
384,253,247,253,247
385,245,255,247,253
386,255,245,236,264
387,234,266,244,256
388,247,253,256,244
389,246,254,242,258
390,244,256,242,258
391,253,247,241,259
392,244,256,261,239
393,255,245,237,263
394,247,253,240,260
395,260,240,274,226
396,250,250,259,241
397,245,255,252,248
398,244,256,241,259
399,250,250,265,235
400,245,255,256,244
401,251,249,266,234
402,248,252,256,244
403,258,242,250,250
404,262,238,248,252
405,234,266,247,253
406,243,257,251,249
407,246,254,246,254
408,247,253,258,242
409,230,270,256,244
410,225,275,247,253
411,269,231,246,254
412,233,267,257,243
413,231,269,267,233
414,235,265,255,245
415,267,233,250,250
416,238,262,249,251
417,247,253,250,250
418,252,248,253,247
419,248,252,260,240
420,255,245,250,250
421,260,240,270,230
422,260,240,240,260
423,253,247,256,244
424,240,260,249,251
425,251,249,235,265
426,249,251,251,249
427,238,262,276,224
428,257,243,249,251
429,239,261,259,241
430,267,233,251,249
431,229,271,237,263
432,257,243,243,257
433,256,244,235,265
434,244,256,236,264
435,246,254,231,269
436,251,249,257,243
437,235,265,253,247
438,257,243,232,268
439,261,239,259,241
440,246,254,237,263
441,245,255,231,269
442,244,256,255,245
443,250,250,263,237
444,258,242,243,257
445,244,256,250,250
446,260,240,258,242
447,243,257,240,260
448,235,265,250,250
449,240,260,237,263
450,246,254,261,239
451,252,248,267,233
452,256,244,240,260
453,254,246,278,222
454,255,245,252,248
455,257,243,248,252
456,251,249,252,248
457,234,266,266,234
458,238,262,234,266
459,273,227,250,250
460,251,249,270,230
461,252,248,253,247
462,256,244,254,246
463,256,244,246,254
464,246,254,245,255
465,246,254,231,269
466,250,250,261,239
467,259,241,266,234
468,250,250,248,252
469,243,257,233,267
470,240,260,269,231
471,256,244,235,265
472,250,250,241,259
473,256,244,255,245
474,256,244,255,245
475,233,267,263,237
476,238,262,254,246
477,251,249,264,236
478,255,245,249,251
479,238,262,246,254
480,261,239,258,242
481,265,235,235,265
482,245,255,262,238
483,242,258,241,259
484,240,260,259,241
485,254,246,267,233
486,234,266,270,230
487,269,231,240,260
488,253,247,250,250
489,255,245,250,250
490,238,262,247,253
491,267,233,254,246
492,235,265,260,240
493,243,257,266,234
494,244,256,266,234
495,259,241,249,251
496,249,251,236,264
497,259,241,249,251
498,230,270,251,249
499,256,244,251,249
500,254,246,230,270
501,254,246,242,258
502,265,235,240,260
503,248,252,261,239
504,252,248,254,246
505,246,254,250,250
506,242,258,253,247
507,264,236,264,236
508,251,249,257,243
509,253,247,238,262
510,243,257,246,254
511,240,260,244,256
512,252,248,244,256
513,264,236,242,258
514,231,269,239,261
515,263,237,263,237
516,239,261,250,250
517,250,250,260,240
518,253,247,220,280
519,244,256,274,226
520,244,256,254,246
521,240,260,239,261
522,249,251,250,250
523,245,255,254,246
524,243,257,263,237
525,245,255,237,263
526,241,259,258,242
527,266,234,261,239
528,234,266,246,254
529,253,247,251,249
530,248,252,255,245
531,227,273,251,249
532,249,251,254,246
533,248,252,245,255
534,242,258,230,270
535,241,259,239,261
536,260,240,255,245
537,244,256,240,260
538,255,245,262,238
539,231,269,262,238
540,257,243,245,255
541,248,252,257,243
542,259,241,249,251
543,259,241,246,254
544,253,247,242,258
545,247,253,239,261
546,260,240,265,235
547,260,240,246,254
548,229,271,252,248
549,249,251,231,269
550,242,258,253,247
551,231,269,229,271
552,274,226,265,235
553,228,272,238,262
554,247,253,248,252
555,263,237,279,221
556,244,256,241,259
557,249,251,256,244
558,258,242,227,273
559,236,264,251,249
560,265,235,252,248
561,229,271,261,239
562,235,265,228,272
563,259,241,255,245
564,254,246,263,237
565,249,251,246,254
566,260,240,243,257
567,248,252,236,264
568,232,268,253,247
569,238,262,246,254
570,231,269,264,236
571,234,266,251,249
572,261,239,245,255
573,245,255,246,254
574,250,250,261,239
575,255,245,249,251
576,248,252,244,256
577,255,245,250,250
578,256,244,246,254
579,251,249,244,256
580,251,249,255,245
581,254,246,247,253
582,238,262,238,262
583,235,265,253,247
584,254,246,251,249
585,236,264,255,245
586,256,244,250,250
587,258,242,244,256
588,245,255,251,249
589,262,238,265,235
590,269,231,242,258
591,251,249,266,234
592,277,223,248,252
593,247,253,270,230
594,255,245,261,239
595,245,255,247,253
596,264,236,234,266
597,229,271,257,243
598,249,251,231,269
599,248,252,248,252
600,244,256,240,260
601,251,249,255,245
602,252,248,254,246
603,257,243,272,228
604,256,244,246,254
605,233,267,244,256
606,247,253,267,233
607,242,258,264,236
608,262,238,259,241
609,256,244,220,280
610,250,250,253,247
611,230,270,245,255
612,264,236,252,248
613,237,263,266,234
614,246,254,260,240
615,251,249,262,238
616,242,258,258,242
617,228,272,246,254
618,242,258,259,241
619,258,242,257,243
620,241,259,266,234
621,251,249,253,247
622,231,269,255,245
623,246,254,260,240
624,254,246,268,232
625,234,266,269,231
626,260,240,235,265
627,256,244,249,251
628,242,258,234,266
629,250,250,251,249
630,238,262,250,250
631,252,248,240,260
632,257,243,247,253
633,267,233,266,234
634,237,263,264,236
635,252,248,260,240
636,257,243,253,247
637,232,268,238,262
638,222,278,249,251
639,227,273,241,259
640,263,237,246,254
641,236,264,256,244
642,273,227,238,262
643,244,256,267,233
644,269,231,251,249
645,257,243,258,242
646,253,247,255,245
647,251,249,239,261
648,254,246,245,255
649,256,244,243,257
650,236,264,242,258
651,242,258,257,243
652,250,250,245,255
653,243,257,242,258
654,244,256,263,237
655,259,241,256,244
656,240,260,240,260
657,250,250,248,252
658,250,250,240,260
659,268,232,243,257
660,250,250,245,255
661,252,248,247,253
662,234,266,242,258
663,235,265,271,229
664,262,238,251,249
665,259,241,269,231
666,249,251,255,245
667,237,263,270,230
668,248,252,255,245
669,272,228,243,257
670,244,256,269,231
671,250,250,240,260
672,251,249,244,256
673,253,247,268,232
674,247,253,238,262
675,255,245,259,241
676,258,242,223,277
677,257,243,249,251
678,238,262,253,247
679,254,246,257,243
680,242,258,239,261
681,260,240,237,263
682,248,252,237,263
683,241,259,250,250
684,245,255,247,253
685,238,262,235,265
686,252,248,242,258
687,278,222,258,242
688,260,240,261,239
689,267,233,235,265
690,263,237,252,248
691,265,235,261,239
692,252,248,283,217
693,254,246,259,241
694,226,274,263,237
695,246,254,230,270
696,248,252,241,259
697,257,243,236,264
698,237,263,243,257
699,279,221,250,250
700,264,236,248,252
701,257,243,240,260
702,259,241,263,237
703,255,245,231,269
704,251,249,268,232
705,249,251,258,242
706,238,262,235,265
707,232,268,263,237
708,249,251,225,275
709,277,223,251,249
710,258,242,268,232
711,248,252,254,246
712,259,241,243,257
713,259,241,249,251
714,240,260,227,273
715,258,242,249,251
716,271,229,242,258
717,249,251,242,258
718,259,241,274,226
719,264,236,226,274
720,247,253,249,251
721,269,231,237,263
722,250,250,244,256
723,242,258,237,263
724,241,259,260,240
725,238,262,240,260
726,233,267,251,249
727,243,257,248,252
728,249,251,249,251
729,271,229,255,245
730,248,252,253,247
731,229,271,252,248
732,259,241,256,244
733,247,253,252,248
734,255,245,228,272
735,252,248,244,256
736,263,237,249,251
737,245,255,253,247
738,239,261,236,264
739,241,259,265,235
740,218,282,264,236
741,253,247,249,251
742,238,262,263,237
743,226,274,252,248
744,258,242,255,245
745,246,254,248,252
746,248,252,253,247
747,258,242,241,259
748,249,251,246,254
749,243,257,256,244
750,242,258,250,250
751,250,250,257,243
752,248,252,265,235
753,270,230,260,240
754,250,250,242,258
755,234,266,237,263
756,266,234,240,260
757,256,244,263,237
758,253,247,250,250
759,249,251,231,269
760,250,250,265,235
761,257,243,243,257
762,256,244,245,255
763,251,249,262,238
764,255,245,255,245
765,234,266,256,244
766,272,228,238,262
767,265,235,252,248
768,241,259,251,249
769,247,253,278,222
770,255,245,262,238
771,256,244,257,243
772,253,247,248,252
773,257,243,242,258
774,254,246,263,237
775,248,252,252,248
776,243,257,234,266
777,245,255,254,246
778,245,255,260,240
779,250,250,263,237
780,254,246,239,261
781,248,252,257,243
782,244,256,244,256
783,230,270,269,231
784,233,267,254,246
785,237,263,251,249
786,249,251,240,260
787,255,245,241,259
788,242,258,252,248
789,254,246,246,254
790,231,269,267,233
791,233,267,243,257
792,251,249,252,248
793,254,246,257,243
794,233,267,260,240
795,256,244,260,240
796,248,252,233,267
797,254,246,248,252
798,243,257,258,242
799,264,236,253,247
800,251,249,246,254
801,255,245,269,231
802,243,257,259,241
803,247,253,256,244
804,254,246,250,250
805,255,245,235,265
806,272,228,268,232
807,256,244,235,265
808,259,241,247,253
809,245,255,233,267
810,229,271,252,248
811,229,271,255,245
812,266,234,235,265
813,263,237,258,242
814,259,241,239,261
815,245,255,255,245
816,254,246,235,265
817,230,270,233,267
818,264,236,240,260
819,248,252,248,252
820,246,254,239,261
821,257,243,244,256
822,269,231,258,242
823,249,251,247,253
824,254,246,247,253
825,241,259,239,261
826,255,245,226,274
827,261,239,261,239
828,252,248,231,269
829,249,251,259,241
830,243,257,266,234
831,239,261,251,249
832,256,244,263,237
833,260,240,240,260
834,236,264,245,255
835,269,231,270,230
836,262,238,240,260
837,275,225,231,269
838,255,245,233,267
839,238,262,260,240
840,223,277,241,259
841,260,240,242,258
842,241,259,242,258
843,258,242,239,261
844,260,240,258,242
845,253,247,247,253
846,253,247,255,245
847,254,246,265,235
848,234,266,263,237
849,251,249,246,254
850,246,254,235,265
851,261,239,241,259
852,262,238,240,260
853,269,231,238,262
854,254,246,254,246
855,263,237,257,243
856,261,239,253,247
857,232,268,263,237
858,243,257,250,250
859,259,241,231,269
860,232,268,259,241
861,265,235,248,252
862,249,251,254,246
863,249,251,263,237
864,244,256,261,239
865,258,242,253,247
866,257,243,260,240
867,242,258,260,240
868,244,256,244,256
869,258,242,247,253
870,238,262,274,226
